Developer,Game,Released,Region,Platform,Delisted,Branch Script
Ritual Entertainment,Star Trek: Elite Force II,2003-06-20,EU,PC,,ritual.star_trek_elite_force2
Ritual Entertainment,Star Trek: Elite Force II,2003-06-23,NA,PC,,ritual.star_trek_elite_force2
Ritual Entertainment,Star Trek: Elite Force II (Demo),2003-06-01,WW,PC,,ritual.star_trek_elite_force2_demo
Runecraft,Soldier of Fortune,2001-07-06,NA,Dreamcast,,raven.soldier_of_fortune
Valve Software,Alien Swarm,2010-07-19,WW,Steam,,valve.alien_swarm
Valve Software,Alien Swarm: Reactive Drop,2017-04-20,WW,Steam,,valve.alien_swarm
Valve Software,Counter-Strike,2000-11-08,NA,PC,,valve.goldsrc
Valve Software,Counter-Strike: Global Offensive,2012-08-21,WW,Steam,2023-09-27,valve.sdk_2013
Valve Software,Counter-Strike: Global Offensive,2012-08-21,WW,Xbox 360,2023-09-27,valve.sdk_2013_x360
Valve Software,Counter-Strike: Global Offensive,2016-01-26,WW,XBOne,2023-09-27,valve.sdk_2013
Valve Software,Counter-Strike 2,2023-09-27,WW,Steam
Valve Software,Counter-Strike: Source,2004-11-01,WW,Steam,,valve.source
Valve Software,Day of Defeat,2003-05-06,NA,PC,,valve.goldsrc
Valve Software,Day of Defeat,2003-09-12,WW,Steam,,valve.goldsrc
Valve Software,Day of Defeat: Source,2005-09-26,WW,Steam,,valve.source
Valve Software,Deathmatch Classic,2001-07-01,WW,PC,,valve.goldsrc
Valve Software,Deathmatch Classic,2003-09-12,WW,Steam,,valve.goldsrc
Valve Software,Half-Life,1998-11-19,WW,PC,,valve.goldsrc
Valve Software,Half-Life 2,2004-11-16,WW,Steam,,valve.source
Valve Software,Half-Life 2: Deathmatch,2004-11-30,WW,Steam,,valve.source
Valve Software,Half-Life 2: Episode 1,2006-06-01,WW,Steam,,valve.source
Valve Software,Half-Life 2: Episode 2,2007-10-10,WW,Steam,,valve.source
Valve Software,Half-Life 2: Lost Coast,2005-10-27,WW,Steam,,valve.source
Valve Software,Half-Life Deathmatch: Source,2006-05-01,WW,Steam,,valve.source
Valve Software,Half-Life: Source,2004-06-01,WW,Steam,,valve.source
Valve Software,Left 4 Dead,2008-11-17,WW,Steam,,valve.left4dead
Valve Software,Left 4 Dead,2008-11-18,NA,Xbox 360,,valve.orange_box_x360
Valve Software,Left 4 Dead 2,2009-11-17,WW,Steam,,valve.left4dead2
Valve Software,Left 4 Dead 2,2009-11-17,NA,Xbox 360,,valve.orange_box_x360
Valve Software,Portal,2007-10-10,WW,Steam,,valve.source
Valve Software,Portal 2,2011-04-18,WW,Steam,,valve.sdk_2013
Valve Software,Portal 2,2011-04-19,NA,PS3
Valve Software,Portal 2,2011-04-19,NA,Xbox 360,,valve.sdk_2013_x360
Valve Software,Ricochet,2000-11-01,NA,PC,,valve.goldsrc
Valve Software,Ricochet,2003-09-12,WW,Steam,,valve.goldsrc
Valve Software,Source Filmmaker,2012-07-11,WW,Steam,,valve.source_filmmaker
Valve Software,Team Fortress 2,2007-10-10,WW,Steam,,valve.orange_box
Valve Software,Team Fortress Classic,1999-04-07,NA,PC,,valve.goldsrc
Valve Software,The Orange Box,2007-10-10,WW,Steam,,valve.orange_box
Valve Software,The Orange Box,2007-10-10,NA,Xbox 360,,valve.orange_box_x360
Valve Software,The Orange Box,2007-12-11,NA,PS3
Xatrix Entertainment,Kingpin: Life of Crime,1999-07-02,NA,PC
Xatrix Entertainment,Kingpin: Life of Crime,2009-08-19,WW,Steam
,Alkaline,2021-06-13,WW,PC,,id_software.remake_quake
Crowbar Collective,Black Mesa,2012-09-14,WW,PC,,valve.sdk_2013
Crowbar Collective,Black Mesa,2015-05-06,WW,Steam,,valve.sdk_2013
Puny Human,Blade Symphony,2014-05-07,WW,Steam,,valve.sdk_2013
Outerlight Limited,Bloody Good Time,2010-10-29,WW,Steam,,outerlight.outerlight
Outerlight Limited,Bloody Good Time,2010-10-29,WW,Xbox 360
"Gray Matter Interactive Studios, Inc.",Call of Duty: United Offensive,2004-09-14,NA,PC,,infinity_ward.call_of_duty1
,Cocaine Diesel,2018-11-08,WW,Linux,,id_software.qfusion
Monochrome Inc,Contagion,2014-04-11,WW,Steam,,valve.left4dead2
