LUMP,ar_baggage.bsp,ar_dizzy.bsp,ar_lunacy.bsp,ar_monastery.bsp,ar_shoots.bsp,coop_autumn.bsp,coop_kasbah.bsp,cs_agency.bsp,cs_apollo.bsp,cs_assault.bsp,cs_italy.bsp,cs_militia.bsp,cs_office.bsp,de_ancient.bsp,de_anubis.bsp,de_bank.bsp,de_cache.bsp,de_canals.bsp,de_cbble.bsp,de_dust2.bsp,de_elysion.bsp,de_engage.bsp,de_guard.bsp,de_inferno.bsp,de_lake.bsp,de_mirage.bsp,de_nuke.bsp,de_overpass.bsp,de_safehouse.bsp,de_shortdust.bsp,de_shortnuke.bsp,de_stmarc.bsp,de_sugarcane.bsp,de_train.bsp,de_vertigo.bsp,dz_blacksite.bsp,dz_frostbite.bsp,dz_sirocco.bsp,gd_cbble.bsp,lobby_mapveto.bsp,training1.bsp
LEAVES,45120,28608,13504,53632,20320,196448,490528,133408,255264,142464,125280,122528,145120,166848,210976,63776,292832,145696,111072,111296,273888,153312,78400,174080,98592,168160,222752,192800,56832,86336,92224,36512,61216,252896,154816,401920,460480,229664,110016,41504,98112
FACEIDS,11612,7054,8056,14978,9996,26640,46294,13852,30822,21112,24226,27066,22564,10168,18534,7894,47032,26316,28328,19700,22154,13158,23770,22338,11124,35956,24532,35558,7272,23696,13278,7560,13922,35724,17488,42356,45880,42300,28482,6264,20720
EDGES,128408,63648,90300,173628,99812,280644,451716,140880,337028,223388,254544,301416,242068,116108,196572,70880,522548,264928,306088,200864,213964,135732,241888,260840,83816,414212,271332,390064,77828,265432,152180,83392,147736,396756,167644,457180,507188,429068,307336,61760,229028
SURFEDGES,191536,99184,142380,256564,160932,427968,712632,218920,498552,340572,382432,460684,359420,160068,283856,109636,746672,384792,470172,305292,334584,191696,374080,366072,139768,603520,389312,581336,118016,393944,216944,122588,223636,579216,254796,669460,732368,674280,472516,101224,361460
MODELS,48,336,48,384,48,10704,12672,13728,12048,1056,912,4176,5232,3936,1296,2496,12336,1296,2064,2064,1968,5088,1584,5712,864,5568,6192,5568,336,816,2544,480,384,9840,7536,7536,12288,8784,1872,720,9312
WORLD_LIGHTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62000,16600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEAF_FACES,15986,9528,10308,19782,12976,31382,60282,18364,44782,32162,37810,37246,30056,14546,8708,11452,37528,35028,35500,4320,43118,18726,26786,28550,13222,48984,33470,56334,9768,32016,17666,10692,20842,53594,24976,51450,46104,43516,35696,7280,30082
LEAF_BRUSHES,10640,4684,5506,12250,5740,18900,55436,10932,38570,36048,30866,22720,20562,32496,78072,6280,50194,29428,21830,23188,41324,21106,18310,38618,9888,40074,40724,46150,12828,23746,14820,6654,12432,43514,30366,50532,103442,34664,21786,5130,12812
BRUSHES,32004,12828,16920,37476,16632,56040,98196,26304,73920,56100,57480,46560,59280,33684,35424,12456,65868,61620,60360,29640,56916,40980,54012,70944,18024,98268,87564,87768,21420,64752,46668,13848,26664,94164,42996,80376,90348,71076,60384,15600,34476
BRUSH_SIDES,139912,55832,127432,195256,85264,268176,489608,117912,337048,272072,267784,243840,278112,147504,205544,56920,314464,333720,375664,163952,272808,197520,280144,342344,88760,464200,376368,513280,232768,335312,198816,69368,118880,450440,196968,424176,503320,396272,375888,79536,163240
AREAS,64,32,24,80,16,112,96,128,120,112,168,152,80,104,56,24,448,296,216,152,56,272,24,296,24,168,280,136,24,80,144,24,40,288,232,176,184,80,216,88,32
AREA_PORTALS,276,84,12,948,12,444,276,900,924,708,684,756,1020,660,396,12,2052,1620,2028,900,204,1188,12,1332,12,684,1116,540,12,324,372,12,348,1356,996,2604,4020,372,2052,12,36
UNUSED_22,1458,784,1356,2070,884,2674,5202,1748,5222,3608,4504,1836,2920,1304,436,1816,888,2168,2374,150,5258,1264,944,1754,1478,1968,4972,2512,1328,3510,2126,320,1682,2410,1868,4338,4238,6376,2354,1140,1868
UNUSED_23,23224,14108,16112,29956,19992,53280,92588,27704,61644,42224,48452,54132,45128,20336,37068,15788,94064,52632,56656,39400,44308,26316,47540,44676,22248,71912,49064,71116,14544,47392,26556,15120,27844,71448,34976,84712,91760,84600,56964,12528,41440
DISPLACEMENT_INFO,704,0,38368,73568,54032,179696,517440,880,30976,16192,14784,80080,20944,240240,1173216,20592,1928080,189904,150304,1464320,5632,1232,311872,442464,30096,167904,133936,27104,37136,32560,10032,24992,17952,72336,59664,790944,1426656,1474528,150304,29744,18304
ORIGINAL_FACES,251608,118608,202888,353416,235032,581896,979608,294672,642768,459088,489160,625968,476056,235424,456232,117600,1163400,491008,678160,505064,413224,216720,532616,552720,129808,894880,503496,758856,149520,547456,278656,173096,291704,789992,300384,954968,1064000,1038744,680680,133952,504392
PHYSICS_DISPLACEMENT,536,2,46930,79738,35705,131447,342834,473,12690,16853,7688,79557,20253,143733,461016,17725,691587,89599,108922,581789,11098,1923,113854,274110,35749,71396,109342,36276,37015,28418,3093,16558,16781,54742,19537,580576,1094798,710008,107732,8959,21717
PHYSICSCOLLIDE,932561,403998,666867,1130230,520647,1825869,3276406,818209,2388284,1603098,1769874,1623247,1722675,1138564,1512756,414150,2320506,2166150,2464920,1208796,1727358,1322214,1792678,2458310,539982,3208341,2765842,2806617,501155,1829922,1442987,470067,777262,3079993,1544214,2507898,2827861,2172828,2468592,503597,1130004
VERT_NORMALS,4704,1944,36252,25176,17832,17688,48324,4524,22212,19476,23004,29820,14748,8196,37752,3288,43452,18156,55188,8208,12312,10356,15336,25392,6192,32844,5196,27000,5592,50976,2064,6120,10284,17436,4836,42924,71208,74844,55152,660,13020
VERT_NORMAL_INDICES,59790,32644,41230,77870,47178,131198,215588,66990,157078,104210,121404,140584,111676,46408,76754,37968,206758,123886,138122,80470,108306,64786,111306,104286,51354,173904,122712,182432,37722,118784,68624,36654,70004,176878,84558,198476,214232,188212,138934,31136,108420
DISPLACEMENT_VERTS,2000,0,238280,504680,171420,1004900,2153200,14180,229120,66960,76720,318220,99820,746340,3451720,88740,6497660,545100,438200,4561120,68480,18540,1049520,1803720,95580,584520,517300,203560,137980,213140,39700,135960,105560,476700,209820,3034520,5703240,5089480,438200,94580,96480
DISPLACEMENT_LIGHTMAP_SAMPLE_POSITIONS,22672,0,319826,305556,1258272,2024212,2373068,59294,392732,28622,735824,1500660,1025704,996084,2034420,2059772,2286674,440208,1520480,2834539,3049,7830,554704,1535444,2611584,659036,1085254,357092,3891112,1239169,73184,1925832,1616777,383033,90868,1936832,8676729,2986640,1520480,31732,885281
GAME_LUMP,50796,99904,65396,89040,38606,22274153,36387915,119508,571484,122998,176474,90374,86650,354402,484872,85964,431702,259736,123690,427510,125950,820062,184582,762506,51692,178670,759100,208250,38332,111322,601668,72658,94998,338044,360296,12379932,75345874,55522248,124690,70806,74340
LEAF_WATER_DATA,0,0,0,0,0,12,36,0,24,0,0,0,0,12,60,0,0,48,12,0,24,0,12,24,36,0,12,24,0,0,12,24,0,0,0,24,12,48,12,0,0
PRIMITIVES,9960,3880,5010,14020,7370,14980,23230,6340,25720,12870,18680,16400,18280,10440,6580,5370,15900,17360,17110,3630,20250,13370,12700,15050,4770,23200,19600,26820,4360,22060,11190,4090,8980,26460,10030,27220,29270,22610,17240,4600,15400
PRIM_INDICES,42162,12330,17370,57036,24732,60672,80748,26994,105276,51276,71520,77322,66732,34506,21522,18678,58062,65274,65928,12816,73224,47148,58434,56868,20862,91782,81972,120828,19302,84288,49764,16944,33420,108738,38100,97458,107736,84312,66384,16128,68292
PAKFILE,6747830,9646416,13306466,6395554,10426844,80324085,146760908,126941931,446507493,21471373,16911915,17001061,15162537,336117615,297324359,18203060,441777590,126482838,47631457,294787778,182060056,186104616,125118853,97770399,27263874,37718603,254024965,36310892,9765692,13874297,38028126,27328587,10023810,68016256,42786639,112212602,398896579,117593026,48089627,7999938,8457343
CLIP_PORTAL_VERTICES,1152,288,0,4344,0,2808,1056,3672,4080,3408,15144,3072,4104,2664,1824,0,8256,20328,22752,4200,768,16968,0,6024,0,2784,4464,2112,0,1272,1440,0,1656,5664,4032,13032,156408,2184,22848,0,120
CUBEMAPS,768,416,1120,448,544,1248,32,528,800,1200,960,752,960,432,752,544,448,2928,2224,256,176,1232,1072,1360,304,1072,576,944,624,640,128,448,688,960,768,3728,3904,32,2224,128,784
TEXDATA_STRING_DATA,4075,3943,3989,2333,578,12331,10794,28877,27175,21413,7428,8758,15926,7030,6203,7373,9176,36843,9125,4726,2218,31565,29737,9696,3174,8403,6349,23696,4038,8849,3995,4205,6998,42193,14302,11918,25599,7959,9184,1781,5661
TEXDATA_STRING_TABLE,532,416,352,320,108,1160,1228,2180,2292,2068,896,1048,1508,516,696,828,1096,2632,908,480,264,2340,2300,948,432,988,712,2272,460,1124,452,644,796,3432,1220,1180,2308,860,916,216,696
OVERLAYS,68640,28864,2464,107712,20768,75328,301664,4928,113344,170720,145728,108768,56672,25696,113696,17952,147136,112288,121792,31680,1056,133056,109472,287232,19712,229152,292512,258720,8800,113696,103840,56320,71808,298144,290048,255200,91872,229856,122848,7744,44352
LEAF_MIN_DIST_TO_WATER,2820,1788,844,3352,1270,12278,30658,8338,15954,8904,7830,7658,9070,10428,13186,3986,18302,9106,6942,6956,17118,9582,4900,10880,6162,10510,13922,12050,3552,5396,5764,2282,3826,15806,9676,25120,28780,14354,6876,2594,6132
FACE_MARCO_TEXTURE_INFO,11612,7054,8056,14978,9996,26640,46294,13852,30822,21112,24226,27066,22564,10168,18534,7894,47032,26316,28328,19700,22154,13158,23770,22338,11124,35956,24532,35558,7272,23696,13278,7560,13922,35724,17488,42356,45880,42300,28482,6264,20720
DISPLACEMENT_TRIS,256,0,36992,77440,22720,153280,305280,2432,35456,9536,11328,44672,14528,98304,446976,12672,880832,70016,56576,601408,11264,3136,141440,255936,12672,79488,72320,31552,19072,32576,5568,20224,15936,72960,28608,425472,801792,690560,56576,12544,14336
LEAF_AMBIENT_INDEX_HDR,5640,3576,1688,6704,2540,24556,61316,16676,31908,17808,15660,15316,18140,20856,26372,7972,36604,18212,13884,13912,34236,19164,9800,21760,12324,21020,27844,24100,7104,10792,11528,4564,7652,31612,19352,50240,57560,28708,13752,5188,12264
LEAF_AMBIENT_INDEX,5640,3576,1688,6704,2540,24556,61316,16676,31908,17808,15660,15316,18140,20856,26372,7972,36604,18212,13884,13912,34236,19164,9800,21760,12324,21020,27844,24100,7104,10792,11528,4564,7652,31612,19352,50240,57560,28708,13752,5188,12264
LIGHTING_HDR,1932180,7546852,3502440,2255566,7773608,17306040,37132708,5756426,14161640,4181176,20240596,8987764,7887660,8102932,13774260,15274948,12800200,18810844,19636456,14650224,9822576,11250788,11912124,10616764,21313808,11015520,13764548,10643176,13371168,11816004,5851888,10343580,8215673,13775352,16369728,26896684,61101064,31070732,19660064,2154756,3514126
WORLD_LIGHTS_HDR,5900,2000,200,3800,3600,30100,53900,31900,88600,12500,7000,13500,16600,75500,10400,3400,26900,12100,13100,2600,62000,16600,8200,10000,2700,8200,117300,9500,3100,5000,74100,2800,5500,34800,17800,33600,89500,17200,13300,11800,4100
LEAF_AMBIENT_LIGHTING_HDR,239708,112056,64456,228788,121548,692328,962836,543424,1158640,774928,580664,441952,496216,914424,1363348,232512,1093624,714056,535724,641088,1197392,477540,354172,976024,524272,645540,1208648,999208,367248,372960,358736,214648,304892,992824,685804,1363012,1436988,691348,526400,55748,271964
LEAF_AMBIENT_LIGHTING,39480,25032,11816,46928,17780,171892,429212,116732,223356,124656,109620,107212,126980,145992,184604,55804,256228,127484,97188,97384,1197392,477540,68600,152320,86268,147140,194908,168700,49728,75544,80696,31948,53564,221284,135464,351680,402920,200956,96264,36316,85848
FACES_HDR,325136,197512,225568,419384,279888,745920,1296232,387856,863016,591136,678328,757848,631792,284704,518952,221032,1316896,736848,793184,551600,620312,368424,665560,625464,311472,1006768,686896,995624,203616,663488,371784,211680,389816,1000272,489664,1185968,1284640,1184400,797496,175392,580160
MAP_FLAGS,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
OVERLAY_FADES,1560,656,56,2448,472,1712,6856,112,2576,3880,3312,2472,1288,584,2584,408,3344,2552,2768,720,24,3024,2488,6528,448,5208,6648,5880,200,2584,2360,1280,1632,6776,6592,5800,2088,5224,2792,176,1008
UNUSED_61,780,328,28,1224,236,856,3428,56,1288,1940,1656,1236,644,292,1292,204,1672,1276,1384,360,12,1512,1244,3264,224,2604,3324,2940,100,1292,1180,640,816,3388,3296,2900,1044,2612,1396,88,504
UNUSED_63,0,0,0,0,0,1355120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6480,0,0,0,0,0,0,532560,0,4089200,58320,0,0,0,0
,
LUMP,POTENTIAL SIZES
ENTITIES,
PLANES,2,4,8,10,20,40
TEXDATA,2,4,8,16
VERTICES,2,4,6,12
VISIBILITY,
NODES,2,4,8,16
TEXINFO,2,4,6,8,12,18,24,36
FACES,2,4,8,14,28
LIGHTING,2,4
OCCLUSION,2
LEAVES,2,4,8,16
FACEIDS,2
EDGES,2,4
SURFEDGES,2,4
MODELS,2,4,6,8,12,24
WORLD_LIGHTS,2,4,8,10,20,40,50,100
LEAF_FACES,2
LEAF_BRUSHES,2
BRUSHES,2,4,6
BRUSH_SIDES,2,4,8
AREAS,2,4
AREA_PORTALS,2,4,6
UNUSED_22,2
UNUSED_23,2,4
UNUSED_24,0
UNUSED_25,0
DISPLACEMENT_INFO,2,4,8,22,44,88
ORIGINAL_FACES,2,4,8,14,28
PHYSICS_DISPLACEMENT,
PHYSICSCOLLIDE,unknown
VERT_NORMALS,2,4,6
VERT_NORMAL_INDICES,2
DISPLACEMENT_LIGHTMAP_ALPHAS,0
DISPLACEMENT_VERTS,2,4,10,20
DISPLACEMENT_LIGHTMAP_SAMPLE_POSITIONS,
GAME_LUMP,
LEAF_WATER_DATA,2,4,6
PRIMITIVES,2
PRIM_VERTS,0
PRIM_INDICES,2,6
PAKFILE,
CLIP_PORTAL_VERTICES,2,4,6,12
CUBEMAPS,2,4,8
TEXDATA_STRING_DATA,
TEXDATA_STRING_TABLE,2,4
OVERLAYS,2,4,8,16,22,44,88,176
LEAF_MIN_DIST_TO_WATER,2
FACE_MARCO_TEXTURE_INFO,2
DISPLACEMENT_TRIS,2,4,8,16,32
PHYSICSCOLLIDE_SURFACE,0
WATER_OVERLAYS,0
LEAF_AMBIENT_INDEX_HDR,2,4
LEAF_AMBIENT_INDEX,2,4
LIGHTING_HDR,
WORLD_LIGHTS_HDR,2,4,10,50
LEAF_AMBIENT_LIGHTING_HDR,2,4,14,28
LEAF_AMBIENT_LIGHTING,2,4,14
XZIP_PAKFILE,0
FACES_HDR,2,4,8,14,28
MAP_FLAGS,2
OVERLAY_FADES,2,4
UNUSED_61,2
UNUSED_62,0
UNUSED_63,2,4,8,10,16,20,40,80
