LUMP,aim_dust.bsp,awp_metro.bsp,awp_museum.bsp,bigcity_main.bsp,bigcity_pvp.bsp,campaign_05.bsp,cs_aquarium.bsp,cs_assault.bsp,cs_estate.bsp,cs_italy.bsp,cs_italy_night.bsp,cs_militia.bsp,cs_office.bsp,cs_office_xmas.bsp,de_aztec.bsp,de_cbble.bsp,de_centered.bsp,de_cornerwork.bsp,de_cornerwork2.bsp,de_dust.bsp,de_dust2.bsp,de_dust2_decompressed.bsp,de_headquarter.bsp,de_highland.bsp,de_inferno.bsp,de_nuke.bsp,de_prodigy.bsp,de_sa02.bsp,de_sa03.bsp,de_storage.bsp,de_storm.bsp,de_survivor.bsp,de_tides.bsp,de_tosca.bsp,de_train.bsp,de_vantage.bsp,de_vertigo.bsp,dm_cargoship.bsp,dm_dustrush.bsp,dm_killhouse.bsp,dm_mboss.bsp,dm_playground.bsp,dm_sa01.bsp,dm_sewer.bsp,dm_shutdown.bsp,dm_uprising.bsp,duel_diner.bsp,ew_lasttrain.bsp,gb_varena.bsp,gm_giant.bsp,hm_multi01.bsp,hs2_assault.bsp,hs2_cargoship.bsp,hs2_estate.bsp,hs2_italy2.bsp,hs2_italy2_xmas.bsp,hs2_office.bsp,hs2_phouse.bsp,hs2_sa01.bsp,hs2_sa02.bsp,hs2_sa03.bsp,hs2_studio.bsp,hs_aqua.bsp,hs_dust2.bsp,hs_festival.bsp,hs_highland.bsp,hs_italy2.bsp,hs_italy2_xmas.bsp,hs_studio.bsp,mad_city.bsp,mad_city_big.bsp,testzone_transition1.bsp,testzone_transition2.bsp,tuto_walk.bsp,uc_aztec.bsp,uc_museum.bsp,uc_shutdown.bsp,zc_laboratory.bsp,zc_trainyard.bsp,zd_aztec.bsp,zd_boss.bsp,zd_internal.bsp,zd_italy.bsp,zd_lasttrain.bsp,zd_nuke.bsp,zd_park.bsp,zd_trainyard.bsp,zp_assault.bsp,zp_aztec.bsp,zp_estate.bsp,zp_italy.bsp,zp_militia.bsp,zp_storm.bsp,zp_uprising.bsp,zz_festival.bsp,zz_phouse.bsp,zz_prodigy.bsp
AREAS,16,37,16,60,51,56,64,52,37,49,46,40,27,27,45,48,24,16,45,32,32,32,41,37,61,41,16,16,43,60,39,49,60,45,68,45,40,54,16,16,16,24,24,47,37,24,27,24,16,51,45,39,39,46,48,40,42,31,44,35,51,16,64,16,50,48,16,54,16,24,24,32,32,32,44,16,16,44,27,33,24,16,48,170,16,45,37,46,40,37,63,38,35
AREA_PORTALS,20,89,20,337,298,171,328,227,202,259,219,177,20,20,190,203,20,20,169,102,54,100,145,145,361,192,20,20,129,276,123,218,232,176,294,171,192,255,20,20,20,20,20,145,89,20,20,20,20,140,112,89,195,148,184,94,114,109,127,78,176,20,302,20,202,187,20,758,20,20,20,41,84,69,132,20,20,182,20,56,20,20,218,833,20,189,197,217,166,93,276,88,99
DISPLACEMENT_INFO,1101,3968,4048,23108,23504,13494,10065,11267,12076,23668,23680,21240,21830,21823,11227,5069,12434,13456,2592,21701,29320,342320,7449,10565,18259,13653,13337,4567,12426,7565,4652,20230,10686,12204,14959,11722,658,3242,2633,1827,850,721,1403,5064,5285,5011,5113,1251,7606,36339,14115,4570,14965,14632,11749,11035,4243,7669,15347,8830,6292,16662,6347,6248,11841,8630,5676,17096,20830,1672,2162,13357,1883,673,4484,17458,7460,11744,2076,2807,1892,3269,16038,20127,14989,11476,12018,23588,18341,5623,6265,8319,13531
ORIGINAL_FACES,9336,22377,35467,143954,205989,33719,19354,21312,32677,46227,45828,19164,27735,28399,31092,34819,41226,26305,20753,34398,65255,1280016,44650,29209,52704,23676,20345,9011,31252,50539,21280,41071,22975,47673,26588,48572,40114,24788,10411,11284,11613,18981,3996,12004,22845,18755,21426,11431,28804,113216,42394,47177,54358,49001,48678,44821,25407,30132,53619,41289,14652,35207,17310,27322,28517,26938,20119,88997,102204,27066,14892,37640,5403,8918,10339,42496,45123,35948,8250,19941,34883,15013,28067,81256,44772,31405,32598,43703,20509,23052,15708,24508,20400
PHYSICS_DISPLACEMENT,2610,6779,7685,0,0,13834,29962,15882,25903,15552,15552,106992,24818,24838,0,8344,23153,0,4385,41159,37006,207331,13057,38008,15388,14598,42357,8671,13422,8757,13018,103993,29697,13135,0,27385,1390,4934,5177,13994,0,1262,4097,5453,6287,6400,8424,10075,7784,33257,16927,5842,28274,12823,11432,8504,5222,11567,15126,12422,25784,15124,9647,23579,10514,9038,9910,11499,119922,5911,4591,14027,8000,1454,5260,25099,15847,41705,4637,6636,3273,4710,16114,24246,12671,0,25751,15561,84753,6287,9260,7692,42325
PHYSICSCOLLIDE,128746,234143,307017,2166927,2647874,310708,279095,229750,279385,552577,525529,199233,337477,339141,1067785,442128,341637,773326,205542,378813,602061,2574123,378884,330751,560597,286008,258133,80353,582386,389991,250397,375602,321595,509750,1069469,429411,455070,280143,141012,86599,346860,175341,70077,116119,202085,200071,315551,61063,292492,1090848,410859,448584,459607,474939,477485,362078,219273,257014,767039,390534,208314,345517,155039,320833,293585,294244,207176,895731,820139,263581,201632,315888,51475,94010,98878,412542,458204,388181,133636,292287,407561,188002,310448,724848,475442,1065601,271001,527982,191871,197714,132371,197339,262251
VERT_NORMALS,1976,2475,5819,14372,15918,2338,7359,5246,4838,12783,12840,7543,4730,5109,13590,12190,9240,4803,1769,7006,14436,32124,1906,8384,14698,6071,5682,1348,5768,3053,4665,10171,10330,12454,2598,23561,3327,1918,2204,5393,16745,10687,1165,1667,6485,1326,15556,253,7092,26943,9507,9079,9149,11180,11401,6422,6199,6074,9615,9022,6937,8500,2462,8724,7142,7162,4825,2867,4405,9037,17490,2474,2426,1662,1572,16265,6982,15665,10302,21031,8714,6047,5410,26934,7988,13116,4829,12558,6203,6299,2402,1999,5517
VERT_NORMAL_INDICES,2328,9516,13729,56588,49253,13005,10101,12705,14041,19978,20374,10917,13711,13772,17011,16388,20760,9674,8896,13262,23470,405476,15600,14889,27393,12841,11071,3035,16893,18332,10688,18584,16857,24640,11683,24666,15686,6489,3571,5566,7888,15000,3744,5144,11452,4604,11864,2131,16588,58945,21240,20225,23021,16220,22880,20026,7487,8879,22807,19580,5388,17432,8091,11619,11779,13944,12206,31618,35300,9716,8016,14609,2767,2236,2915,17843,13740,20027,5619,11634,18708,7628,14909,35434,24497,13185,14398,19898,12053,7993,7788,11075,11009
DISPLACEMENT_VERTS,2398,5892,5266,30220,36966,20866,48831,26376,48010,29626,29626,146623,37133,37143,119261,12777,49121,12647,2763,31972,66961,1011700,19510,60541,25202,21231,78578,12991,19010,14554,35713,247116,35626,18379,38337,42332,1332,10113,4984,27537,44505,789,6485,5306,10028,7196,10318,9984,7762,65172,28418,9147,50095,16795,13035,15297,4322,15352,20473,21873,41380,37142,7761,55846,14907,11100,19832,23036,102286,6383,6858,21272,6566,697,5036,37087,23477,113749,7157,9309,2644,3427,23527,54251,25079,119261,48041,29611,116731,10028,7772,13508,78621
DISPLACEMENT_LIGHTMAP_SAMPLE_POSITIONS,23737,127,196,3445,4437,728,34993,4378,52542,124,124,393810,12958,12964,131726,58522,57412,10274,106,127360,68315,216124,3404,199872,128,38239,88708,8164,86,12800,67709,102914,914,8399,2957,81066,122,9417,22364,23375,56794,155,468,154,115,78,43332,75582,111834,2576,4446,8896,52496,1807,1803,198,2171,9362,180,31319,27570,30651,20475,203545,1722,1717,31226,79597,41979,25868,22159,1045,23435,99,162,2763,2624,139507,24587,40599,268,18930,39974,175911,69223,131726,52423,123,327746,115,19407,120,89127
